mode,min_conf,cagr,sharpe,max_dd,calmar,in_mkt,d_sharpe,d_cagr,d_maxdd,veto_rate
veto,0.0,0.0020687141804536235,0.16109087779236575,-0.04122730058136781,0.05017825933984517,0.018710191082802547,-0.5992567867980111,-0.054594117921406005,0.14524936722691306,0.8964968152866242
veto,0.6,0.0020687141804536235,0.16109087779236575,-0.04122730058136781,0.05017825933984517,0.018710191082802547,-0.5992567867980111,-0.054594117921406005,0.14524936722691306,0.8964968152866242
veto,0.8,0.0020687141804536235,0.16109087779236575,-0.04122730058136781,0.05017825933984517,0.018710191082802547,-0.5992567867980111,-0.054594117921406005,0.14524936722691306,0.8964968152866242
halve,0.0,0.03642849822565575,0.8772758692884394,-0.08555826075948347,0.42577417893126035,0.5955414012738853,0.11692820469806253,-0.02023433387620388,0.1009184070487974,0.8964968152866242
halve,0.6,0.03642849822565575,0.8772758692884394,-0.08555826075948347,0.42577417893126035,0.5955414012738853,0.11692820469806253,-0.02023433387620388,0.1009184070487974,0.8964968152866242
halve,0.8,0.03642849822565575,0.8772758692884394,-0.08555826075948347,0.42577417893126035,0.5955414012738853,0.11692820469806253,-0.02023433387620388,0.1009184070487974,0.8964968152866242
prob,0.0,0.009704732950118755,0.6080102494042067,-0.04143669226555746,0.23420626549830603,0.7456210191082803,-0.15233741518617017,-0.04695809915174087,0.1450399755427234,0.8964968152866242
prob,0.6,0.009704732950118755,0.6080102494042067,-0.04143669226555746,0.23420626549830603,0.7456210191082803,-0.15233741518617017,-0.04695809915174087,0.1450399755427234,0.8964968152866242
prob,0.8,0.009704732950118755,0.6080102494042067,-0.04143669226555746,0.23420626549830603,0.7456210191082803,-0.15233741518617017,-0.04695809915174087,0.1450399755427234,0.8964968152866242
rank,0.0,0.03946592695915596,0.7320182450931912,-0.09115207173699069,0.4329679644915868,0.6759554140127388,-0.028329419497185593,-0.017196905142703667,0.09532459607129018,0.8662420382165605
rank,0.6,0.03946592695915596,0.7320182450931912,-0.09115207173699069,0.4329679644915868,0.6759554140127388,-0.028329419497185593,-0.017196905142703667,0.09532459607129018,0.8662420382165605
rank,0.8,0.03946592695915596,0.7320182450931912,-0.09115207173699069,0.4329679644915868,0.6759554140127388,-0.028329419497185593,-0.017196905142703667,0.09532459607129018,0.8662420382165605
