hold,ma,moms,sharpe,cagr,max_dd,switches
0,100,21+63+126+252,0.7169935865622782,0.046108711543616954,-0.1953337597064051,652
0,100,63+126+252,0.6871655329398852,0.04651823163485225,-0.23603300569107943,567
0,100,21+63+252,0.7353620053388393,0.04755483328451793,-0.1900382082459836,663
0,100,126+252,0.6435718414846202,0.044005350848896674,-0.3150383306743961,544
0,150,21+63+126+252,0.7190914606997924,0.046618207996411476,-0.21175141101420547,688
0,150,63+126+252,0.6638291969857321,0.045649028590259766,-0.3043272540562181,502
0,150,21+63+252,0.7378001461240822,0.047716759975790835,-0.19709966967380088,628
0,150,126+252,0.605180158383807,0.04317373725461593,-0.4180499638048686,540
0,200,21+63+126+252,0.7288239627317902,0.04735676415213508,-0.22006981863813357,696
0,200,63+126+252,0.6916189394417049,0.047858153802871284,-0.261952281635218,408
0,200,21+63+252,0.7214734948687769,0.04635154046208467,-0.2202757747963351,634
0,200,126+252,0.6404508574855098,0.04701286601199328,-0.3818995941039195,464
0,250,21+63+126+252,0.7242155404812927,0.04699389277567123,-0.2117890342659301,700
0,250,63+126+252,0.6926528016560288,0.04801264254690474,-0.2351333193919537,370
0,250,21+63+252,0.7222589655969521,0.04644068271485291,-0.20886123303806348,624
0,250,126+252,0.666746051294901,0.04945344612796121,-0.3383678982282434,418
0,100,21+63+126+252,0.7169935865622782,0.046108711543616954,-0.1953337597064051,652
0,100,63+126+252,0.6871655329398852,0.04651823163485225,-0.23603300569107943,567
0,100,21+63+252,0.7353620053388393,0.04755483328451793,-0.1900382082459836,663
0,100,126+252,0.6435718414846202,0.044005350848896674,-0.3150383306743961,544
0,150,21+63+126+252,0.7190914606997924,0.046618207996411476,-0.21175141101420547,688
0,150,63+126+252,0.6638291969857321,0.045649028590259766,-0.3043272540562181,502
0,150,21+63+252,0.7378001461240822,0.047716759975790835,-0.19709966967380088,628
0,150,126+252,0.605180158383807,0.04317373725461593,-0.4180499638048686,540
0,200,21+63+126+252,0.7288239627317902,0.04735676415213508,-0.22006981863813357,696
0,200,63+126+252,0.6916189394417049,0.047858153802871284,-0.261952281635218,408
0,200,21+63+252,0.7214734948687769,0.04635154046208467,-0.2202757747963351,634
0,200,126+252,0.6404508574855098,0.04701286601199328,-0.3818995941039195,464
0,250,21+63+126+252,0.7242155404812927,0.04699389277567123,-0.2117890342659301,700
0,250,63+126+252,0.6926528016560288,0.04801264254690474,-0.2351333193919537,370
0,250,21+63+252,0.7222589655969521,0.04644068271485291,-0.20886123303806348,624
0,250,126+252,0.666746051294901,0.04945344612796121,-0.3383678982282434,418
