ma,vol_target,band,cagr,sharpe,max_dd,in_mkt,dsr,sr_expected_max_luck
50,0.08,0.05,0.043371449726458344,0.7286188934836658,-0.1179191126346465,0.4856687898089172,0.9359383925540536,0.014893105213576249
50,0.08,0.15,0.04215904840167317,0.699796832183356,-0.12250843153621493,0.48128980891719747,0.9233915412149223,0.014893105213576249
50,0.08,0.3,0.051317452519684226,0.7979780122570866,-0.10122124889074557,0.5330414012738853,0.9573984854764923,0.014893105213576249
50,0.1,0.05,0.048685332906297285,0.6812390552711357,-0.14473138814085318,0.4856687898089172,0.9152061929958419,0.014893105213576249
50,0.1,0.15,0.04912941120991943,0.6762685850811424,-0.1532035464233482,0.482484076433121,0.9130374578049791,0.014893105213576249
50,0.1,0.3,0.0556606451596795,0.7264522621234758,-0.12719071615340338,0.5298566878980892,0.9337399655058802,0.014893105213576249
50,0.12,0.05,0.05185509736469829,0.6390022560186146,-0.1666270305416131,0.4856687898089172,0.8926518150856471,0.014893105213576249
50,0.12,0.15,0.053562434296620776,0.6622379177793122,-0.17518525314317157,0.4856687898089172,0.906407355822785,0.014893105213576249
50,0.12,0.3,0.050625677826743765,0.6088341718099264,-0.15424910106672474,0.5298566878980892,0.8751211954121094,0.014893105213576249
50,0.16,0.05,0.0551026946709563,0.5959939503282995,-0.19333218063174407,0.4856687898089172,0.8653262291012351,0.014893105213576249
50,0.16,0.15,0.057248424358537164,0.6122912121562648,-0.19339739142333,0.4856687898089172,0.8758887870050035,0.014893105213576249
50,0.16,0.3,0.061384992902890456,0.6355230819195389,-0.18876921363533516,0.48128980891719747,0.88784218824699,0.014893105213576249
50,0.2,0.05,0.05672839857781797,0.5754600029518702,-0.19382759144420092,0.4856687898089172,0.8496893194554384,0.014893105213576249
50,0.2,0.15,0.055386278253115595,0.5603443436747035,-0.1944246055546417,0.4856687898089172,0.8387385071808897,0.014893105213576249
50,0.2,0.3,0.05750606567646188,0.5727046991223188,-0.188615322144559,0.482484076433121,0.8477433730016632,0.014893105213576249
50,0.3,0.05,0.05714787167965474,0.549306119154677,-0.1918869201077018,0.4856687898089172,0.8308495682001449,0.014893105213576249
50,0.3,0.15,0.058046278865891754,0.5547057140656647,-0.1918869201077017,0.4856687898089172,0.8350095777751021,0.014893105213576249
50,0.3,0.3,0.058975587379536565,0.5634609296017595,-0.18857292758614141,0.4856687898089172,0.84139452993471,0.014893105213576249
100,0.08,0.05,0.04733440556809665,0.7761171175098531,-0.12926008278457402,0.5617038216560509,0.9522409992250109,0.014893105213576249
100,0.08,0.15,0.045826005330487085,0.7411979939082771,-0.13450507539292356,0.5537420382165605,0.9401006684642341,0.014893105213576249
100,0.08,0.3,0.058231112792007655,0.8858248339805299,-0.13031230753530143,0.6122611464968153,0.9765162535251992,0.014893105213576249
100,0.1,0.05,0.053939352287791564,0.734481205589567,-0.1568703563914876,0.5617038216560509,0.937803743071625,0.014893105213576249
100,0.1,0.15,0.054055351482148684,0.7237599855483924,-0.16746192479931987,0.5549363057324841,0.9339041715358594,0.014893105213576249
100,0.1,0.3,0.06389314558479908,0.8063754385475316,-0.16135212475648653,0.6027070063694268,0.9596084872048612,0.014893105213576249
100,0.12,0.05,0.056915854107699726,0.6825665831945614,-0.1831861211192849,0.5617038216560509,0.9152864358458471,0.014893105213576249
100,0.12,0.15,0.05794586659691259,0.6974109473680747,-0.19350308444745445,0.5617038216560509,0.9232211515775091,0.014893105213576249
100,0.12,0.3,0.061155151661291374,0.7008051286736964,-0.18649402641024493,0.6007165605095541,0.9233663387624764,0.014893105213576249
100,0.16,0.05,0.06126196717132526,0.6430405755373712,-0.2100787584388678,0.5617038216560509,0.8939240206074617,0.014893105213576249
100,0.16,0.15,0.06327343127551921,0.6571450335880892,-0.21014261544198098,0.5617038216560509,0.9016643260789674,0.014893105213576249
100,0.16,0.3,0.06559014089815784,0.6670735209683581,-0.1927456519325922,0.5537420382165605,0.9054214015396128,0.014893105213576249
100,0.2,0.05,0.0627259098823163,0.6174774327261072,-0.21025865994366122,0.5617038216560509,0.8774228955824541,0.014893105213576249
100,0.2,0.15,0.061553646534451945,0.6041529687695774,-0.2108435059624637,0.5617038216560509,0.8690162743821677,0.014893105213576249
100,0.2,0.3,0.06154318365530598,0.59615109888844,-0.2051526249345913,0.5549363057324841,0.8639751053416034,0.014893105213576249
100,0.3,0.05,0.06123542343456534,0.57154849134854,-0.20835754255781613,0.5617038216560509,0.8474525392206249,0.014893105213576249
100,0.3,0.15,0.062406140482947015,0.579164663587315,-0.20835754255781613,0.5617038216560509,0.8528816415343496,0.014893105213576249
100,0.3,0.3,0.0633392783721114,0.587724280200902,-0.20511109444431241,0.5617038216560509,0.8586589495957604,0.014893105213576249
150,0.08,0.05,0.049942176289481166,0.8203629233364275,-0.13025638500229508,0.5640923566878981,0.9641354177838509,0.014893105213576249
150,0.08,0.15,0.047523452988530446,0.769775882834957,-0.13521665813168593,0.5569267515923567,0.9496936665000107,0.014893105213576249
